,index,id,PublicRemarks,Bathroom,Bedrooms,Sqft,Price,Type,Address,Longitude,Latitude,PostalCode
10,39,27643554,"Spectacular home in the highly sought after Point Grey neighbourhood. Recently renovated in 2019, this Victorian beauty spanning almost 4700 Sqft of luxurious modern living space. Grand foyer with high ceiling, extensive used hardwood floor thru-out. AMAZING CHEF'S KITCH Has Oversized Island w/high-end kit cabinetry & appliances, French doors to level deck & SOUTHERN EXPOSURE BACK YARD W/PARK-LIKE GARDEN, HOME THEATRE, SAUNA, RADIANT HEATING. LUXURIOUS DREAM MASTR has a spacious View Balcony!FOUR MORE BEDROOMS PLUS HUGE VIEW DECK TO WATCH THE SHIPS BY DAY & CITY LIGHTS BY NIGHT; ONE BDRM SUITE basement AS MORTGAGE HELPER! 3 CAR GARAGES, Steps away from LORD BYNG SECONDARY & QUEEN ELIZABETH ELEM, CLOSE TO ST. GEORGE'S, YORK HOUSE, CROFTON PRIVATE SCHOOL, UBC. SHOPPING, TRANSIT (30587180)",6,7,4695,4980000,Single Family,"4072 W 11TH AVENUE|Vancouver, British Columbia V6R2L3",-123.196135,49.262496,V6R2L3
11,38,27557149,"GOOD SIZE CORNER LOT with a beautiful house in Point Grey community center. The previous owner and the sellers  have done a major renovation including raising the home 4 feet, foundation, drainage, chimney, stucco, floor plan, kitchen, bathrooms, and much more. Almost like brand new roofs, bathrooms and sundeck. This 5 bedrooms, 3.5-bathrooms home offers over 3,300 sqft of luxury on a 6,158 sqft. Close to shops, Queen Mary, Lord Byng School, Safeway & 6 bank branches, Trimble Park and WPGA School. (30494003)",4,5,3275,4970000,Single Family,"4291 W 9TH AVENUE|Vancouver, British Columbia V6R2C6",-123.202792,49.26483,V6R2C6
12,37,27238393,"ONE OF KIND ENJOY THIS UNOBSTRUCTED BREATHTAKING VIEWS OF MOUNTAINS, CITY & WATER. AN EXCEPTIONAL UNIQUE WEST COAST CONTEMPORARY NEW HOME. IN MOST PRESTIGIOUS POINT GREY LOCATION. This beautiful home simply offers Over 3,600 sq.ft. PLUS amazing Rooftop 867 sq.ft.. QUALITY is built into every detail. height ceiling, open spacious gourmet kitchen with high-end kitchen cabinetry & stainless appliances. Total 5 bedrooms + den, 5.5 baths. Offers Steam Shower, Sauna, Entertainment room, Wet bar, Radiant floor heating, A/C, HRV, HOME SMART SECURITY SYSTEM. Separate entrance legal One-bedroom suite with bath, kitchen, washer and dryer in lower level as mortgage helper. School catchment; LORD BYNG & QUEEN ELIZABETH ELEMENTARY. CLOSE TO WEST POINT GREY ACADEMY, ST. GEORGE'S PRIVTE SCHOOL, UBC, SHOPPING & BUS. MUST SEE ! (30149380)",6,5,3604,4880000,Single Family,"3635 W 14TH AVENUE|Vancouver, British Columbia V6R2W6",-123.184725,49.260021,V6R2W6
13,36,27402424,"POPULAR POINT GREY LOCATION ! Fabulous home almost 4,200 sq.ft. sits on a huge lot 55' x 122' ( 6,710 sq.ft.). Featuring 17"" high ceiling foyer with curved staircase up to the second floor with 5 bedrooms, 4.5 baths, Spacious master bedroom with ensuite. Main floor has excellent layout with entertaining sized living and dining, office beside the entrance, Large open gourmet kitchen with great room overlooking the park like back yard, Radiant floor heating system, Recreation room with washer room in the basement. Steps away from LORD BING HIGH SCHOOL, QUEEN ELIZABETH ELEMENTARY. CLOSE TO WEST POINT GREY ACADEMY, ST. GEORGE'S, CORFTON & YORK HOUSE PRIVATE SCHOOL, UBC, GOLF COURSE, SHOPPING & BUS. SOUTHERN BACKYARD EXPOSURE. MUST SEE ! (30326847)",5,5,4149,4880000,Single Family,"4570 W 13TH AVENUE|Vancouver, British Columbia V6R2V4",-123.211323,49.260919,V6R2V4
14,35,27464982,"Tranquil desirable Point Grey location with Mountain view. One block to Pacific Spirit Park & bus line, 5 blocks to West 10th Avenue shopping community. Lord Byng, Jules Quesnel & Queen Elizabeth school catchments, easy access to UBC & St. Georges. This luxury home features 4 bedrooms, 5 1/2 bathrooms, one bedroom suite with rough-in kitchen, air conditioning, HRV, Wok kitchen, open and practical plan, beautiful family room leads to the extra sun deck, rooftop deck with views, theatre room, intelligent audio system, security system and much more... this is the one you never miss. (30394683)",6,4,2760,4680000,Single Family,"4627 W 15TH AVENUE|Vancouver, British Columbia V6R3B5",-123.213233,49.259563,V6R3B5
15,34,27553378,"Well maintained 4 bedroom, 3 bath family home on a beautiful tree-lined street in desirable Point Grey. Over 2,600 square feet and sits high on a 50 x 122 foot property with mountain views. Traditional floor plan with newer kitchen, updated bathrooms and a south facing backyard. School Catchment: Queen Elizabeth Elementary and Lord Byng Secondary. (30490106)",3,4,2792,4530000,Single Family,"4086 W 13TH AVENUE|Vancouver, British Columbia V6R2T4",-123.19661,49.260635,V6R2T4
16,33,27534873,"Property is strategically located on the south side of the street between Sasamat & Trimble. A prime redevelopment opportunity in the soon to be rejuvenated West Pt Grey Village, with the former Safeway site about to be redeveloped soon. With a frontage of 50.4' x 122' and under the C-2 zoning offers an FSR of a potential max of 2.5... this is an opportunity to redevelop. Currently vacant and no Tenant Improvement on the main level. Upper is current vacant with just 1 residential unit. Rear is a wide open parking area. (35598557)",N/A,N/A,0,4500000,Vacant Land,"4450 W 10TH AVENUE|Vancouver, British Columbia V6R2H9",-123.2076873,49.2636611,V6R2H9
17,32,27598348,"EExceptionally well-built home with a functional layout, top quality materials & craftsmanship in desirable Point Grey. Excellent location close to schools, public transit, restaurants, beaches, shopping & parks. This beautiful home sits on a 41'X122' lot, boasts almost 3500 sf interior living space, a large sunny backyard & a heated double-car garage. The upper floor has 4 bedrooms including a spacious primary bedroom with a spa-like ensuite, a large walk-in closet & outdoor deck with mountain view; main floor welcomes you with a living, dining, bedroom & a fabulous gourmet kitchen & family room overlooking the tranquil backyard. The lower level includes a  fantastic media & recreation rooms, a guest room, study/hobby room & lots of storage. Comes with AC and radiant heating. School catchment: Lord Byng and Queen Elizabeth. Call now! Open house: 2-4pm, Sunday on November 10. (30538673)",4,6,3473,4420000,Single Family,"4459 W 12TH AVENUE|Vancouver, British Columbia V6R2R3",-123.207919,49.262202,V6R2R3
18,31,27358397,"Luxury in this custom-built home situated in Point Grey area. This 2,886 SF residence sits on a 33 x 123.45 level lot, offering refined details like beautiful millwork, wainscoting, and coffered ceilings on the main floor. The home features a wok kitchen, solid oak hardwood flooring throughout, vaulted ceilings on the second floor, high-end appliances, a wine cooler, a gourmet kitchen, and exquisite cabinetry. Each bedroom comes with an ensuite, and the property is equipped with central air conditioning, HRV, a top-tier security system, central vacuum, gated fence, and a double garage. Additionally, there's a one-bedroom mortgage helper downstairs with a separate entrance. This prime location is near Lord Byng, Queen Elizabeth, St Georges, West Point.Open House Sep 15th,Sun 2 to 4 pm. (30278556)",5,4,3013,4298000,Single Family,"4474 W 15TH AVENUE|Vancouver, British Columbia V6R3B2",-123.208388,49.259077,V6R3B2
19,30,27421899,"A rare opportunity to own a beautiful family home in one of Vancouver's most sought after locations! This traditional style home faces the ocean with a mountain backdrop in the distance. Featuring a front to back living room with a wood burning fireplace, renovated, spacious kitchen with a central island and a large south facing deck. Highlighted by solid oak hardwood floors and leaded glass French doors. With 4 bedrooms up and potential to develop the lower level further. Don´t miss your chance at this quiet yet central and family focused neighbourhood with top catchment public schools Queen Mary & Lord Byng and No.1 private schools WPGA and OLPH. Find yourself steps away from Pacific Spirit Park & Jericho Beach as well as many shops, restaurants and amenities! (30347886)",2,5,3208,4298000,Single Family,"4086 W 8TH AVENUE|Vancouver, British Columbia V6R1Z6",-123.196325,49.265161,V6R1Z6
20,29,27432255,"Beautiful Georgian Revival Estate home in the Prestige Point Grey! This Spacious 6 bed 2.5bath 3504SF family home has been well taken care of. Main floor boasts Grand foyer, Cozy living room w/Original hardwood floor, Formal dining room leads to a Bright kitchen, family room with skylights. Bedroom/Office with French door access to the back patio. Upstairs has 4 large bedrooms and a full bath. Partially finished basement has a guest bedroom, full bath, entertainment room, laundry room, separate entrance.  Mature landscaping and Well maintained Garden. Single garage. This 55x122 south facing lot has no big tree on property. Mountain view & Peek-a-boo water view from upper floor.  Close to WPGA, Walk to Jericho Beach, easy access to Broadway shopping & UBC! (30358841)",3,6,3504,4200000,Single Family,"4132 CROWN CRESCENT|Vancouver, British Columbia V6R2A9",-123.197669,49.264323,V6R2A9
21,28,26759296,"Location! Location! West Point Grey. Great school catchments. (Queen Mary Elementary School & Lord Byng Secondary School) Few Mins to UBC, close to future Skytrain station. Near bus route, i.e . direct bus route to UBC and downtown. walking distance to banks, restaurants and shops. Lot size: 36.70 x 112.70 3 car garage. Spacious 3 bedrooms with studio in basement. Well kept property. (29630556)",4,3,2502,3990000,Single Family,"4633 W 7TH AVENUE|Vancouver, British Columbia V6R1X4",-123.213211,49.266754,V6R1X4
22,27,27434254,"**Charming West Point Grey Home with Upgrades!**Discover this classic residence on a spacious 46 x 122 lot, featuring 5 bedroom + office and 3 full bathrooms, Lennox high efficiency furnace and air conditioner (purposely oversized for a future, larger house), On demand water heater, Renovated kitchen and main floor bathroom, Columbia wooden kitchen cabinets, Ultra high quality Marvin double hung windows (aluminum exterior/wood interior) (main and upper floors), Inlay heritage hardwood floor on main and restored heritage fir floor upstairs, Three large and easily access attics.++ A 2 bedrooms / 925 sqft LANEWAY HOUSE Designed by award-winning architect Alexandre Ravkov and much more! Must see!++ (30361272)",5,7,3242,3898000,Single Family,"4671 W 13TH AVENUE|Vancouver, British Columbia V6R2V6",-123.214278,49.261403,V6R2V6
23,26,27508102,"Spectacular Point Grey residence in quite street. 3 bedroom-plus-den 1930's home, renovated in 2016 maintaining the character and style of the 30's.  Full-height unfinished basement with separate entrance to the garden which can be converted to a second suite. Steps to transit for UBC & Downtown, two blocks to Jericho Sailing Centre, Aberthau, Brock House, Jericho Gym, West Point Grey Academy, Queen Mary School, Jericho Park, Locarno Beach, Spanish Banks; Lord Byng catchment area. Investors Alert, it is a perfect investment either to hold or build. Functional Floor Plans. Open House 11/9 Sat 2-4pm (30441170)",2,3,2864,3890000,Single Family,"4309 LOCARNO CRESCENT|Vancouver, British Columbia V6R1G2",-123.203416,49.269019,V6R1G2
24,25,27402447,"Nestled in the heart of Vancouver's prestigious West Point Grey, this serene home blends elegance and comfort reminiscent of a Mediterranean villa. Boasting 5 bright bedrooms, 2 kitchens with multi-functional floor plans and a landscaped garden, this renovated and move in ready 2458 sf sanctuary is ideal for families and entertaining. This home commands breathtaking water, city, and mountain views with an expansive south-facing backyard, complete with a greenhouse and a shed, beckons gardening enthusiasts. Picture tranquil mornings savouring coffee in the terra-cotta kitchen, Sunday afternoons relaxing in the garden, and a peaceful evening unwinding in the ocean view jacuzzi. Walking distance to the best catchment school in Vancouver West - Lord Byng Secondary and QE Elementary. (30326994)",5,5,2458,3860000,Single Family,"3888 W 13TH AVENUE|Vancouver, British Columbia V6R2S8",-123.189786,49.260619,V6R2S8
25,24,27563507,"Prime Point Grey location. Well maintained older character home with views on both main and upper floor towards Burrard Inlet, North Shore Mountains & Downtown Vancouver. Perfect to hold or renovate or build a brand new VIEW home. Existing home has two bedrooms and a full bathroom upstairs. Basement is walkout with decent ceiling height. Surrounded by top schools, close to Lord Byng Secondary, Queen Elizabeth Elementary, WPGA, OLPH. Short drive to St. George's School, Crofton House School and UBC. (30500680)",3,2,1933,3558000,Single Family,"3981 W 11TH AVENUE|Vancouver, British Columbia V6R2L1",-123.192784,49.263004,V6R2L1
26,23,26719127,"Well maintained south facing home in prestigious West Point Grey neighbourhood. This great home offers great living spaces with 4 bedrooms and 4 bathrooms.Upper level features 3 bedrooms including a master bedroom with jetted bathtub. Lower level has recreation room plus a den. School catchment: Queen Mary Elementary & Lord Byng Secondary. Minutes walk to Safeway, Starbucks, restaurants, and banks. (29586532)",4,4,2759,3490000,Single Family,"4589 W 9TH AVENUE|Vancouver, British Columbia V6R2E2",-123.211781,49.264979,V6R2E2
27,22,27456615,"Breathtaking ocean view at the most desirable Point Gray area. This superbly renovated home with open concept floor plan. Ceiling to floor windows views over Spanish Banks, downtown and the North Shore Mountains. Upgraded kitchen, hardwood floors, and internal paint. Downstairs with huge family room and bedroom which is easy to convert to a rental suite. South facing back yard with huge patio can enjoy the party and garden. Great location to raise family or to build your dream mansion there! Best school catchment: Queen Elizabeth Elementary, Lord Byng Secondary, West Point Grey private school. Close to UBC, Golf Course, beaches, and 10th Ave shopping and cafes. Must see to appreciate! open house sep 29 (Sun) 2-4 pm (30385178)",2,3,2040,3488000,Single Family,"3762 W 13TH AVENUE|Vancouver, British Columbia V6R2S6",-123.187222,49.260575,V6R2S6
28,21,27364934,"This West Coast Contemporary home situated in one of Vancouver's most prestigious neighbourhood, West Pont Grey! With 4 bedroom, 3 bathrooms and sauna.  The split level home features an open concept kitchen which opens to vaulted BRIGHT flex space.  Enjoy BREATHTAKING  PANORAMIC VIEWS of the city, mountains and OCEAN VIEWS from both LARGE DECKS perfect for entertaining and only a short walk to the BEACH.  Must be seen...this home is truly special.  close to Vancouver's finest school, transportation and all amenities (30285905)",3,4,3623,3388000,Single Family,"4570 W 4TH AVENUE|Vancouver, British Columbia V6R1R3",-123.211006,49.268789,V6R1R3
29,20,27533676,"A charming 4 Bed + 4 Bath family home nestled in the prestigious Point Grey. Immaculately maintained and cared over years. Located on a QUIET tree-lined street, very inch of land is precious! Blocks to Jericho Beach Park and other 6 parks; within 5 minutes drive to UBC, Lord Byng Secondary, West Point Grey Academy, Queen Elizabeth Elementary, and the famous private secondary school Our Lady of Perpetual Help. A variety of shops, restaurants, and cafes, providing residents with convenient access to amenities and services. Great place to live and a rare investment opportunity. (30468690)",4,4,2992,3248000,Single Family,"4553 W 8TH AVENUE|Vancouver, British Columbia V6R2A4",-123.210626,49.265834,V6R2A4
30,19,27574477,"Beautiful water and mountain VIEW 33x122 property in Point Grey! Sitting on the higher side of the street w/a sunny South facing backyard! This large 2936 sf Victorian style house was tastefully renovated in 2022 with new laminate floors, elegant light fixtures, crystal chandeliers, S/S appliances, sleek bathrooms, a fully finished bsmt.  New water heater tank and new exterior paint in Fall 2024. 2 bedrooms and 4 piece bath on the main; master bdrm with an ensuite bath on the 2nd lvl w/a water view balcony; A large rec room (could be a bdrm),1 full bath & 1 bdrm in the bsmt which is possible to be turned into a suite. Charming stained glass, wood panelling & high wainscotting throughout. Lord Byng, Queen Elizabeth Elem catchment; short drive to UBC, WPGA, St. Georges. OH: Sun (Nov 3) 2-4. (30512832)",3,4,3006,3088000,Single Family,"4190 W 11TH AVENUE|Vancouver, British Columbia V6R2L6",-123.199546,49.262626,V6R2L6
31,18,27006588,"Investor & Builder ALERT!!!Exceptional investment opportunity in Vancouver West Point Grey! Located just one step to transit, UBC, Pacific Spirit Regional Park and beaches. 7 Bedrooms & 2 Kitchens ample space for large families or multiple tenants, making it perfect for student housing or shared living arrangements. Renovated in 2014 with new roof, flooring, kitchen appliances, and windows ensuring comfort and functionality. Can potentially rent over $9000 per month which promises excellent returns and steady cash flow. Perfect for live in or hold for development! School Catchments are Queen Elizabeth Elementary, Lord Byng Secondary and French Immersion - Kitsilano Secondary. Open House : Nov 16th(Sat)2-4pm (29898386)",3,7,2035,2950000,Single Family,"4663 W 15TH AVENUE|Vancouver, British Columbia V6R3B5",-123.214182,49.259596,V6R3B5
32,17,27461530,"UPDATED charming house w/the best curb appeal in prestigious Point Grey! 33X122 flat property surrounded by new homes. Main flr features formal living & dining, 2 bdrms & 1full bath, kitchen equipped with elegant cabinetry & S/S appliances. Fully developed attic space with washer, dryer & roughed in bathroom pipes; basement boasts a 2 bdrm suite which was put in 2005 w/new plumbing and wiring by licensed trades. Tons of updates: Pella windows, Lennox furnace in 2005, 10 year old roof w/25 year warranty, on demand hot water sys, extra insulation between the suite and the upper level, single garage which could be used as a studio. Fantastic location: Lord Byng Sec. & Queen Elizabeth Elem. Short drive to UBC, WPGA, W. 10th shopping & beaches. OH: Sun (Nov 3) 2-4pm. (30390730)",2,5,2073,2888000,Single Family,"4477 W 15TH AVENUE|Vancouver, British Columbia V6R3B1",-123.208519,49.259507,V6R3B1
33,16,27318279,"Welcome to this brand-new, custom-build corner duplex in Point Grey. This contemporary three-level home features a modern color palette, luxurious finishes,abundant natural light and high-end custom millwork . Radiant heat, AC/HRV, and triple-glazed windows for energy save.Key highlights include two independent heat sources (9 kW boiler and heat pump),Italian Tiles,an independent hot water tank, 200-amp service, engineered hardwood flooring, Kohler fixtures, and Bosch appliances with a dual-fuel range. The mechanicals and AC are installed in the crawl space, ensuring a quiet attic and additional storage. Just a 5-minute drive to St. George's School, West Point Grey, and UBC, and a 5-minute walk to Lord Byng Secondary School and Queen Elizabeth Elementary.FIRST OPEN Saturday 3-5pm (Aug 24) (30235657)",4,3,1714,2698000,Single Family,"3075 COURTENAY STREET|Vancouver, British Columbia V6R3X8",-123.200356,49.259491,V6R3X8
34,15,27615006,"Point Grey Charmer situated on a 47' X 121.77' foot property with partial views. 5 bedroom 2 bathroom home of approximately 3000 square feet, not including attached garage. Well cared for home with many original features. Spacious principal rooms on main with oversized windows boasting plenty of natural light. Home includes large back yard space, front facing attached garage, and additional rear detached garage. Whether you're looking to move in and enjoy the home's current charm, or envision a future investment project, this property presents an exciting opportunity. Close to Lord Byng Secondary, Queen Mary Elementary, UBC, WPGA, and Trimble park. Call today. (30556421)",2,5,2975,2698000,Single Family,"4266 W 10TH AVENUE|Vancouver, British Columbia V6R2H4",-123.201834,49.263453,V6R2H4
35,14,27518711,"Come and view this 5 bedroom 2.5 bathroom RENOVATED home, located close to Jericho beach and popular restaurants, on a 33 x 110, south facing lot in Kitsilano. New floors throughout, NEW KITCHEN with gas stove and S/S appliances, NEW BATHROOMS, and NEW down stairs 2 BEDROOM SUITE. Separate living room, eat/dining area, plus 2 bedrooms, are all on the main floor as well as the large back deck. The spacious master bedroom and office space are upstairs plus a new 2 bedroom basement suite down with laundry, is an added plus. South facing garden with a LARGE 1.5 CAR GARAGE and ELECTRIC GARAGE DOOR. Prime location close to W 4th and W Broadway shops and restaurants with an ideal cycle route to UBC, all the beaches and paths to Granville Island. It's all here and not to be missed! Bayview and Kits High schools. Open House Saturday 2:30 - 3:30. (30452493)",3,5,1890,2598000,Single Family,"3628 W 5TH AVENUE|Vancouver, British Columbia V6R1S2",-123.184296,49.267537,V6R1S2
36,13,27336190,LAST WEEK before property is off market - OPEN HOUSE SATURDAY (2PM-4PM) + SUNDAY (2PM-4PM) (30254713),4,3,1537,2550000,Single Family,"4687 W 15TH AVENUE|Vancouver, British Columbia V6R3B5",-123.214869,49.25962,V6R3B5
37,12,27498059,"Experience exceptional living in this brand-new 4-bedroom, 4-bathroom front-unit half-duplex in highly desirable Point Grey.   This beautifully designed home offers engineered hardwood flooring, 2 fully-equipped custom made kitchens with top-tier appliances, air conditioning, and a state-of-the-art security system for your peace of mind.  The home includes one covered garage and best of all-NO STRATA FEES, and the price includes GST!  Built by a reputable West Side builder, this duplex showcases quality craftsmanship and attention to detail. With a 2-5-10 new home warranty, you´ll enjoy years of stress-free ownership.   This is the perfect combination of luxury and practicality, ideal for families or anyone seeking a premium lifestyle in Point Grey. Don´t miss this opportunity-book your showing today!  Open house: Sunday 2:30- 4:30 (30430254)",4,4,1905,2499000,Single Family,"1 4215 W 13TH AVENUE|Vancouver, British Columbia V6R2T7",-123.200606,49.261211,V6R2T7
38,11,27495690,"This brand-new, energy-efficient back duplex offers fabulous mountain views & is located in the prestigious and prime neighbourhood of Point Grey. Enjoy the proximity to Pacific Spirit Park, Spanish Banks & Jericho beaches. The area boasts amazing shops & eateries along W10th Avenue & is a quick bus ride to UBC. The home features a professional interior design with a thoughtful floor plan layout & is built to meet the City of Vancouver's current energy codes for high insulation value. Cozy gas fireplace adds to its warmth. The kitchen is equipped with high-end designer Dekton countertops/backsplash with warm brushed nickel trim & high-end Bosch appliances, including a gas range. Modern, energy-efficient LED lighting, a heat pump, A/C, HRV, & a dedicated EV charging station add to the convenience. The property includes Kohler & Moen bath fixtures, Weiser hardware, modern exterior & good-size garage, along with plenty of street parking. Close to private schools + Lord Byng. Bonus storage: approx. 500sf crawl space! (30427734)",4,3,1608,2488000,Single Family,"2 4423 W 16TH AVENUE|Vancouver, British Columbia V6R3E7",-123.207035,49.258589,V6R3E7
